[2026-07-03T02:13:11] model path: Jackrong/Qwen3.5-27B-Claude-4.6-Opus-Reasoning-Distilled
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
[2026-07-03T05:37:59] trial 32/120 [cognitive] q=40 gen_tokens=200 401.6s
[2026-07-03T05:44:57] trial 33/120 [cognitive] q=7 gen_tokens=200 411.2s
[2026-07-03T05:52:07] trial 34/120 [cognitive] q=48 gen_tokens=200 423.4s
[2026-07-03T05:59:29] trial 35/120 [metacognitive] q=3 gen_tokens=200 434.6s
[2026-07-03T06:03:27] trial 36/120 [metacognitive] q=11 gen_tokens=149 233.4s
[2026-07-03T06:09:19] trial 37/120 [cognitive] q=46 gen_tokens=200 345.0s
[2026-07-03T06:15:48] trial 38/120 [metacognitive] q=43 gen_tokens=200 382.2s
[2026-07-03T06:22:31] trial 39/120 [cognitive] q=51 gen_tokens=200 396.0s
[2026-07-03T06:29:26] trial 40/120 [cognitive] q=33 gen_tokens=200 408.5s
[2026-07-03T06:36:44] trial 41/120 [metacognitive] q=23 gen_tokens=200 430.4s
[2026-07-03T06:43:57] trial 42/120 [cognitive] q=52 gen_tokens=200 427.1s
[2026-07-03T06:49:33] trial 43/120 [metacognitive] q=33 gen_tokens=200 328.0s
[2026-07-03T06:53:58] trial 44/120 [cognitive] q=5 gen_tokens=158 260.5s
[2026-07-03T06:56:20] trial 45/120 [cognitive] q=4 gen_tokens=91 140.4s
[2026-07-03T07:03:00] trial 46/120 [metacognitive] q=13 gen_tokens=198 392.5s
[2026-07-03T07:09:56] trial 47/120 [metacognitive] q=0 gen_tokens=200 409.1s
[2026-07-03T07:17:02] trial 48/120 [cognitive] q=49 gen_tokens=200 418.8s
[2026-07-03T07:23:14] trial 49/120 [cognitive] q=42 gen_tokens=200 365.1s
[2026-07-03T07:26:27] trial 50/120 [cognitive] q=41 gen_tokens=130 189.8s
[2026-07-03T07:32:40] trial 51/120 [cognitive] q=15 gen_tokens=200 366.0s
[2026-07-03T07:38:59] trial 52/120 [metacognitive] q=8 gen_tokens=189 371.8s
[2026-07-03T07:46:02] trial 53/120 [metacognitive] q=39 gen_tokens=200 415.4s
[2026-07-03T07:53:00] trial 54/120 [metacognitive] q=14 gen_tokens=200 410.5s
[2026-07-03T07:57:20] trial 55/120 [metacognitive] q=29 gen_tokens=133 256.8s
[2026-07-03T08:04:43] trial 56/120 [metacognitive] q=30 gen_tokens=200 435.9s
[2026-07-03T08:11:09] trial 57/120 [metacognitive] q=5 gen_tokens=200 378.1s
[2026-07-03T08:16:54] trial 58/120 [cognitive] q=17 gen_tokens=200 338.0s
[2026-07-03T08:23:23] trial 59/120 [metacognitive] q=34 gen_tokens=200 382.1s
[2026-07-03T08:30:03] trial 60/120 [cognitive] q=59 gen_tokens=200 393.9s
[2026-07-03T08:36:56] trial 61/120 [cognitive] q=58 gen_tokens=200 406.6s
[2026-07-03T08:44:06] trial 62/120 [cognitive] q=34 gen_tokens=200 422.6s
[2026-07-03T08:51:29] trial 63/120 [metacognitive] q=21 gen_tokens=200 436.4s
[2026-07-03T08:57:24] trial 64/120 [cognitive] q=31 gen_tokens=200 348.2s
[2026-07-03T09:03:35] trial 65/120 [metacognitive] q=48 gen_tokens=200 363.4s
[2026-07-03T09:10:11] trial 66/120 [metacognitive] q=58 gen_tokens=200 388.6s
[2026-07-03T09:17:02] trial 67/120 [metacognitive] q=6 gen_tokens=200 404.4s
[2026-07-03T09:24:11] trial 68/120 [metacognitive] q=28 gen_tokens=200 421.6s
[2026-07-03T09:31:30] trial 69/120 [metacognitive] q=59 gen_tokens=200 432.5s
[2026-07-03T09:35:33] trial 70/120 [cognitive] q=30 gen_tokens=126 239.8s
[2026-07-03T09:42:06] trial 71/120 [metacognitive] q=40 gen_tokens=200 385.6s
[2026-07-03T09:47:55] trial 72/120 [cognitive] q=38 gen_tokens=200 341.6s
[2026-07-03T09:54:12] trial 73/120 [cognitive] q=47 gen_tokens=200 371.0s
[2026-07-03T10:00:51] trial 74/120 [cognitive] q=45 gen_tokens=200 391.6s
[2026-07-03T10:07:53] trial 75/120 [metacognitive] q=53 gen_tokens=200 414.8s
[2026-07-03T10:13:56] trial 76/120 [metacognitive] q=55 gen_tokens=200 356.5s
[2026-07-03T10:20:01] trial 77/120 [metacognitive] q=47 gen_tokens=200 357.7s
[2026-07-03T10:26:35] trial 78/120 [metacognitive] q=37 gen_tokens=200 386.3s
[2026-07-03T10:31:07] trial 79/120 [cognitive] q=44 gen_tokens=147 268.1s
[2026-07-03T10:38:01] trial 80/120 [cognitive] q=26 gen_tokens=200 407.3s
[2026-07-03T10:45:16] trial 81/120 [metacognitive] q=51 gen_tokens=200 427.5s
[2026-07-03T10:52:29] trial 82/120 [cognitive] q=22 gen_tokens=200 426.6s
[2026-07-03T10:57:06] trial 83/120 [cognitive] q=2 gen_tokens=178 271.4s
[2026-07-03T11:03:14] trial 84/120 [metacognitive] q=32 gen_tokens=200 359.9s
[2026-07-03T11:09:37] trial 85/120 [cognitive] q=37 gen_tokens=200 377.1s
[2026-07-03T11:16:30] trial 86/120 [metacognitive] q=44 gen_tokens=200 405.6s
[2026-07-03T11:23:24] trial 87/120 [cognitive] q=3 gen_tokens=200 407.0s
[2026-07-03T11:29:45] trial 88/120 [cognitive] q=39 gen_tokens=200 373.9s
[2026-07-03T11:35:45] trial 89/120 [metacognitive] q=38 gen_tokens=200 352.8s
[2026-07-03T11:42:03] trial 90/120 [cognitive] q=21 gen_tokens=200 370.9s
[2026-07-03T11:48:39] trial 91/120 [cognitive] q=35 gen_tokens=200 389.3s
[2026-07-03T11:55:33] trial 92/120 [cognitive] q=23 gen_tokens=200 407.5s
[2026-07-03T12:02:45] trial 93/120 [metacognitive] q=52 gen_tokens=200 425.5s
[2026-07-03T12:08:58] trial 94/120 [metacognitive] q=56 gen_tokens=200 365.3s
[2026-07-03T12:11:48] trial 95/120 [metacognitive] q=42 gen_tokens=113 166.6s
[2026-07-03T12:18:05] trial 96/120 [metacognitive] q=36 gen_tokens=200 369.9s
[2026-07-03T12:24:42] trial 97/120 [cognitive] q=25 gen_tokens=200 390.2s
[2026-07-03T12:31:34] trial 98/120 [cognitive] q=56 gen_tokens=200 405.7s
[2026-07-03T12:37:29] trial 99/120 [metacognitive] q=2 gen_tokens=200 347.6s
[2026-07-03T12:43:39] trial 100/120 [metacognitive] q=16 gen_tokens=200 362.5s
[2026-07-03T12:50:15] trial 101/120 [metacognitive] q=4 gen_tokens=200 388.7s
[2026-07-03T12:57:01] trial 102/120 [cognitive] q=14 gen_tokens=200 399.6s
[2026-07-03T13:04:03] trial 103/120 [cognitive] q=32 gen_tokens=200 414.5s
[2026-07-03T13:09:31] trial 104/120 [cognitive] q=36 gen_tokens=200 321.2s
[2026-07-03T13:15:42] trial 105/120 [metacognitive] q=10 gen_tokens=200 363.7s
[2026-07-03T13:22:17] trial 106/120 [metacognitive] q=35 gen_tokens=200 387.9s
[2026-07-03T13:28:07] trial 107/120 [cognitive] q=11 gen_tokens=178 344.3s
[2026-07-03T13:34:59] trial 108/120 [cognitive] q=19 gen_tokens=200 405.6s
[2026-07-03T13:37:11] trial 109/120 [cognitive] q=12 gen_tokens=95 129.4s
[2026-07-03T13:43:25] trial 110/120 [cognitive] q=20 gen_tokens=200 367.4s
[2026-07-03T13:50:02] trial 111/120 [metacognitive] q=19 gen_tokens=200 389.8s
[2026-07-03T13:56:50] trial 112/120 [metacognitive] q=57 gen_tokens=200 401.3s
[2026-07-03T14:03:40] trial 113/120 [cognitive] q=13 gen_tokens=200 402.8s
[2026-07-03T14:10:17] trial 114/120 [metacognitive] q=18 gen_tokens=200 390.5s
[2026-07-03T14:15:57] trial 115/120 [cognitive] q=6 gen_tokens=200 332.7s
[2026-07-03T14:22:20] trial 116/120 [metacognitive] q=7 gen_tokens=200 376.4s
[2026-07-03T14:28:16] trial 117/120 [cognitive] q=50 gen_tokens=183 349.7s
[2026-07-03T14:30:33] trial 118/120 [cognitive] q=43 gen_tokens=81 135.2s
[2026-07-03T14:37:26] trial 119/120 [cognitive] q=8 gen_tokens=200 405.8s
[2026-07-03T14:44:44] trial 120/120 [metacognitive] q=45 gen_tokens=200 431.0s
[2026-07-03T14:44:44] DONE in 750.5 min -> /Users/margaret/lab/kv-experiments/results/mode_switching_replication/trials.jsonl
